#{"t_start": 1768248100.72864, "env_id": "DielsAlderReact-v0"}
r,l,t
0.04163,20,18.582898
0.042283,20,18.598388
0.04163,20,18.613501
0.043238,20,18.628601
0.042258,20,18.687124
0.04163,20,18.702357
0.04163,20,18.717645
0.04428,20,18.743184
0.04163,20,18.758346
0.04163,20,18.773927
0.044015,20,18.798277
0.04163,20,18.813106
0.04163,20,18.828172
0.044091,20,18.84402
0.04163,20,18.859145
0.042173,20,18.874587
0.043161,20,18.889686
0.04163,20,18.947976
0.04163,20,18.96318
0.042722,20,18.978489
0.042778,20,18.993651
0.042491,20,19.008711
0.044277,20,19.03378
0.04163,20,19.049052
0.042808,20,19.064193
0.042702,20,19.078537
0.043563,20,19.093041
0.041649,20,19.107552
0.04163,20,19.122564
0.04163,20,19.137523
0.04163,20,19.194305
0.04163,20,19.209507
0.043003,20,19.225124
0.043038,20,19.239804
0.04163,20,19.254801
0.04163,20,19.26957
0.04163,20,19.28406
0.044104,20,19.299022
0.04286,20,19.313895
0.042154,20,19.330177
0.042759,20,19.346915
0.04163,20,19.363282
0.043828,20,19.379823
0.04163,20,19.441399
0.04163,20,19.456007
0.04163,20,19.470857
0.04163,20,19.485412
0.042136,20,19.499645
0.043022,20,19.513926
0.042883,20,19.528438
0.042093,20,19.542968
0.04163,20,19.557142
0.04163,20,19.571549
0.04163,20,19.58619
0.043604,20,19.601488
0.042454,20,19.61581
0.043781,20,19.67039
0.041803,20,19.684502
0.044183,20,19.698496
0.044202,20,19.712753
0.04163,20,19.726159
0.043011,20,19.740559
0.042125,20,19.75447
0.04163,20,19.769098
0.043366,20,19.783307
0.04163,20,19.79746
0.04163,20,19.811778
0.043153,20,19.826122
0.043751,20,19.877823
0.043893,20,19.892159
0.04163,20,19.906226
0.042799,20,19.920568
0.04163,20,19.934886
0.043156,20,19.949134
0.04163,20,19.962944
0.041936,20,19.977148
0.04163,20,19.991528
0.04163,20,20.005655
0.04163,20,20.019727
0.04163,20,20.033887
0.044156,20,20.048169
0.043409,20,20.099753
0.04163,20,20.114129
0.04163,20,20.1285
0.04163,20,20.142799
0.04163,20,20.156708
0.04163,20,20.171796
0.04163,20,20.186024
0.042798,20,20.200064
0.04163,20,20.214052
0.04163,20,20.228089
0.04163,20,20.24237
0.041878,20,20.256315
0.042616,20,20.270194
0.04163,20,20.321463
0.04163,20,20.336126
